No.,Official name (known as),City,Country,First match,Last match,Matches
1,Melbourne Cricket Ground (MCG),"Melbourne, Victoria",Australia,5 January 1971,18 January 2019 [2],149 [3]
2,Old Trafford Cricket Ground (Old Trafford),"Manchester, Greater Manchester",England,24 August 1972,9 July 2019 [4],51 [5]
3,Lord's Cricket Ground (Lord's),"St. John's Wood, London",England,26 August 1972,14 July 2019 [6],66 [7]
4,County Cricket Ground (Edgbaston),"Birmingham, West Midlands",England,28 August 1972,11 July 2019 [8],63 [9]
5,AMI Stadium (formerly Jade Stadium and Lancaster Park),"Christchurch, Canterbury",New Zealand,11 February 1973,29 January 2011 [10],48 [11]
6,St Helen's,"Swansea, West Glamorgan",Wales,18 July 1973,9 June 1983 [12],2 [13]
7,Headingley Cricket Ground (Headingley),"Leeds, West Yorkshire",England,5 September 1973,6 July 2019 [14],45 [15]
8,The Oval Cricket Ground (The Oval),"Kennington, London",England,7 September 1973,15 June 2019 [16],73 [17]
9,Carisbrook,"Dunedin, Otago",New Zealand,30 March 1974,25 February 2004 [18],21 [19]
10,Trent Bridge Ground (Trent Bridge),"Nottingham, Nottinghamshire",England,31 August 1974,20 June 2019 [20],48 [21]
11,Basin Reserve (The Basin),"Wellington, Wellington",New Zealand,9 March 1975,19 January 2018 [22],29 [23]
12,Adelaide Oval,"Adelaide, South Australia",Australia,20 December 1975,15 January 2019 [24],85 [25]
13,Eden Park No. 1 (Eden Park),"Auckland, Auckland",New Zealand,22 February 1976,4 March 2017 [26],76 [27]
14,North Marine Road Ground,"Scarborough, North Yorkshire",England,26 August 1976,15 July 1978 [28],2 [29]
15,Jinnah Stadium (Sialkot Stadium),"Sialkot, Punjab",Pakistan,16 October 1976,6 December 1996 [30],9 [31]
16,Albion Sports Complex,"Albion, Berbice, Guyana (West Indies)",Guyana,16 March 1977,14 April 1985 [32],5 [33]
17,Zafar Ali Stadium (Sahiwal Stadium),"Sahiwal, Punjab",Pakistan,23 December 1977,3 November 1978 [34],2 [35]
18,Gaddafi Stadium (Lahore Stadium),"Lahore, Punjab",Pakistan,13 January 1978,31 May 2015 [36],61 [37]
19,Antigua Recreation Ground (The Rec),"St. John's, Antigua and Barbuda (West Indies)",Antigua & Barbuda,22 February 1978,28 February 2007 [38],11 [39]
20,Mindoo Phillip Park (Victoria Park),"Castries, Saint Lucia (West Indies)",Saint Lucia,12 April 1978,19 April 1984 [40],2 [41]
21,Ayub National Stadium (Baluchistan CA Ground),"Quetta, Balochistan",Pakistan,1 October 1978,12 October 1984 [42],2 [43]
22,Sydney Cricket Ground (SCG),"Sydney, New South Wales",Australia,13 January 1979,12 January 2019 [44],156 [45]
23,Brisbane Cricket Ground (The Gabba),"Brisbane, Queensland",Australia,23 December 1979,19 January 2018 [46],78 [47]
24,National Stadium,"Karachi, Sindh",Pakistan,21 November 1980,21 January 2009 [48],46 [49]
25,Western Australian Cricket Association Ground (The WACA),"Perth, Western Australia",Australia,9 December 1980,19 January 2017 [50],80 [51]
26,Arnos Vale Stadium,"Kingstown, Saint Vincent and the Grenadines (West Indies)",Saint Vincent,4 February 1981,20 March 2012 [52],23 [53]
27,Seddon Park,"Hamilton, Waikato",New Zealand,15 February 1981,31 January 2019 [54],34 [55]
28,Sardar Vallabhbhai Patel Stadium,"Ahmedabad, Gujarat",India,25 November 1981,25 November 1981 [56],1 [57]
29,Gandhi Stadium,"Jalandhar, Punjab",India,20 December 1981,20 February 1984 [58],3 [59]
30,Barabati Stadium,"Cuttack, Odisha",India,27 January 1982,19 January 2017 [60],18 [61]
31,Sinhalese Sports Club Ground (SSC),"Colombo, Western Province",Sri Lanka,13 February 1982,1 April 2017 [62],60 [63]
32,Gandhi Sports Complex Ground (Alexandra Ground),"Amritsar, Punjab",India,12 September 1982,18 November 1995 [64],2 [65]
33,Arun Jaitley Stadium (Feroz Shah Kotla Stadium;Kotla),"New Delhi, Delhi",India,15 September 1982,13 March 2019 [66],25 [67]
34,Niaz Stadium,"Hyderabad, Sindh",Pakistan,20 September 1982,24 January 2008 [68],7 [69]
35,M. Chinnaswamy Stadium (Chinnaswamy Stadium),"Bangalore, Karnataka",India,26 September 1982,28 September 2017 [70],25 [71]
36,Jinnah Stadium (Municipal Stadium),"Gujranwala, Punjab",Pakistan,3 December 1982,16 February 2000 [72],11 [73]
37,Ibn-e-Qasim Bagh Stadium,"Multan, Punjab",Pakistan,17 December 1982,14 October 1994 [74],6 [75]
38,Queen's Park Oval,"Port of Spain, Trinidad and Tobago (West Indies)",Trinidad & Tobago,9 March 1983,14 August 2019 [76],69 [77]
39,McLean Park,"Napier, Hawke's Bay",New Zealand,19 March 1983,13 February 2019 [78],44 [79]
40,Queen's Park (Old),"St George's, Grenada (West Indies)",Grenada,7 April 1983,7 April 1983 [80],1 [81]
41,Paikiasothy Saravanamuttu Stadium (Saravanamuttu Stadium),"Colombo, Western Province",Sri Lanka,13 April 1983,20 July 2007 [82],12 [83]
